Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance %,Persistent Absence
1001,Ethan,Wilson,Reception,27/03/2020,Male,Working Towards,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,Expected,Expected,97.6%,No
1002,Emily,Smith,Reception,09/02/2020,Female,Pre-Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Working Towards,91.4%,No
1003,Poppy,Ali,Reception,24/07/2020,Female,Working Towards,Expected,Expected,Expected,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,Pre-Working Towards,95.9%,No
1004,Oscar,Cook,Reception,02/08/2020,Male,Working Towards,Expected,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,93.4%,No
1005,Rory,Murphy,Reception,14/05/2020,Male,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Working Towards,Greater Depth,Expected,Expected,Pre-Working Towards,Pre-Working Towards,97.8%,No
1006,George,Clarke,Reception,28/02/2020,Male,Greater Depth,Expected,Pre-Working Towards,Expected,Expected,Expected,Pre-Working Towards,Greater Depth,Expected,Working Towards,Expected,93.5%,No
1007,Amelia,Thomas,Reception,13/01/2020,Female,Working Towards,Pre-Working Towards,Expected,Working Towards,Greater Depth,Pre-Working Towards,Expected,Working Towards,Expected,Expected,Expected,98.0%,No
1008,Reuben,King,Reception,02/06/2020,Male,Greater Depth,Expected,Working Towards,Expected,Working Towards,Expected,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,95.8%,No
1009,Benjamin,Morris,Reception,11/09/2019,Male,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,Expected,97.7%,No
1010,Florence,Hughes,Reception,22/02/2020,Female,Working Towards,Greater Depth,Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Expected,Greater Depth,Pre-Working Towards,Working Towards,89.5%,Yes
1011,Oscar,Ali,Reception,10/02/2020,Male,Pre-Working Towards,Greater Depth,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Expected,87.5%,Yes
1012,Matilda,Khan,Reception,14/05/2020,Female,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Working Towards,Expected,Expected,Working Towards,Expected,Greater Depth,92.6%,No
1013,Alice,Ahmed,Reception,20/12/2019,Female,Expected,Working Towards,Greater Depth,Pre-Working Towards,Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Greater Depth,93.2%,No
