Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance,Persistent Absence
1001,Lily,Hall,Reception,18/03/2021,Female,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Expected,95.0%,No
1002,Emily,Bailey,Reception,26/02/2021,Female,Greater Depth,Expected,Working Towards,Expected,Working Towards,Pre-Working Towards,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,94.4%,No
1003,Olivia,Thomas,Reception,26/05/2021,Female,Expected,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,Working Towards,Greater Depth,Expected,Greater Depth,Pre-Working Towards,Working Towards,96.4%,No
1004,Hugo,Campbell,Reception,19/07/2021,Male,Working Towards,Expected,Working Towards,Expected,Working Towards,Expected,Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,86.7%,Yes
1005,Freddie,Bell,Reception,19/03/2021,Male,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Expected,Expected,Working Towards,Working Towards,Greater Depth,Expected,Working Towards,96.8%,No
1006,Finley,Mills,Reception,19/07/2021,Male,Expected,Working Towards,Working Towards,Pre-Working Towards,Expected,Greater Depth,Greater Depth,Expected,Pre-Working Towards,Pre-Working Towards,Expected,84.7%,Yes
1007,Joseph,Bailey,Reception,30/12/2020,Male,Expected,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,Working Towards,Expected,Working Towards,Pre-Working Towards,Expected,96.9%,No
1008,Sienna,Hill,Reception,20/06/2021,Female,Expected,Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,93.1%,No
1009,Mason,Cook,Reception,03/03/2021,Male,Working Towards,Expected,Working Towards,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,94.3%,No
1010,Freddie,Hunter,Reception,18/12/2020,Male,Expected,Pre-Working Towards,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Pre-Working Towards,98.0%,No
1011,Noah,Bailey,Reception,18/11/2020,Male,Greater Depth,Greater Depth,Expected,Expected,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Working Towards,Expected,94.2%,No
1012,Olivia,Turner,Reception,12/02/2021,Female,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Expected,91.5%,No
1013,Benjamin,Cooper,Reception,12/12/2020,Male,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Greater Depth,92.4%,No
1014,James,Hughes,Reception,15/08/2021,Male,Pre-Working Towards,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Pre-Working Towards,Pre-Working Towards,Expected,Pre-Working Towards,94.8%,No
